line top point : (594000.956, 5753195.131)	 line bottom point : (594000.956, 5745470.425) 	 left # : 1498 	 right # : 1570 	 overlap_with_division_line # : 333
line top point : (594583.956, 5753195.131)	 line bottom point : (594583.956, 5745470.425) 	 left # : 1926 	 right # : 1217 	 overlap_with_division_line # : 258
line top point : (594584.956, 5753195.131)	 line bottom point : (594584.956, 5745470.425) 	 left # : 1927 	 right # : 1216 	 overlap_with_division_line # : 258
line top point : (594585.956, 5753195.131)	 line bottom point : (594585.956, 5745470.425) 	 left # : 1927 	 right # : 1216 	 overlap_with_division_line # : 258
line top point : (594586.956, 5753195.131)	 line bottom point : (594586.956, 5745470.425) 	 left # : 1927 	 right # : 1216 	 overlap_with_division_line # : 258
line top point : (594587.956, 5753195.131)	 line bottom point : (594587.956, 5745470.425) 	 left # : 1929 	 right # : 1214 	 overlap_with_division_line # : 258
line top point : (594588.956, 5753195.131)	 line bottom point : (594588.956, 5745470.425) 	 left # : 1930 	 right # : 1212 	 overlap_with_division_line # : 259
line top point : (594589.956, 5753195.131)	 line bottom point : (594589.956, 5745470.425) 	 left # : 1930 	 right # : 1212 	 overlap_with_division_line # : 259
line top point : (594590.956, 5753195.131)	 line bottom point : (594590.956, 5745470.425) 	 left # : 1930 	 right # : 1212 	 overlap_with_division_line # : 259
line top point : (594591.956, 5753195.131)	 line bottom point : (594591.956, 5745470.425) 	 left # : 1930 	 right # : 1212 	 overlap_with_division_line # : 259
line top point : (594592.956, 5753195.131)	 line bottom point : (594592.956, 5745470.425) 	 left # : 1930 	 right # : 1212 	 overlap_with_division_line # : 259
line top point : (594593.956, 5753195.131)	 line bottom point : (594593.956, 5745470.425) 	 left # : 1930 	 right # : 1212 	 overlap_with_division_line # : 259
line top point : (594594.956, 5753195.131)	 line bottom point : (594594.956, 5745470.425) 	 left # : 1933 	 right # : 1209 	 overlap_with_division_line # : 259
line top point : (594595.956, 5753195.131)	 line bottom point : (594595.956, 5745470.425) 	 left # : 1935 	 right # : 1207 	 overlap_with_division_line # : 259
line top point : (594596.956, 5753195.131)	 line bottom point : (594596.956, 5745470.425) 	 left # : 1935 	 right # : 1207 	 overlap_with_division_line # : 259
line top point : (594597.956, 5753195.131)	 line bottom point : (594597.956, 5745470.425) 	 left # : 1935 	 right # : 1207 	 overlap_with_division_line # : 259
line top point : (594598.956, 5753195.131)	 line bottom point : (594598.956, 5745470.425) 	 left # : 1937 	 right # : 1205 	 overlap_with_division_line # : 259
line top point : (594599.956, 5753195.131)	 line bottom point : (594599.956, 5745470.425) 	 left # : 1939 	 right # : 1203 	 overlap_with_division_line # : 259
line top point : (594600.956, 5753195.131)	 line bottom point : (594600.956, 5745470.425) 	 left # : 1939 	 right # : 1203 	 overlap_with_division_line # : 259
line top point : (594601.956, 5753195.131)	 line bottom point : (594601.956, 5745470.425) 	 left # : 1940 	 right # : 1201 	 overlap_with_division_line # : 260
line top point : (594602.956, 5753195.131)	 line bottom point : (594602.956, 5745470.425) 	 left # : 1940 	 right # : 1201 	 overlap_with_division_line # : 260
line top point : (594603.956, 5753195.131)	 line bottom point : (594603.956, 5745470.425) 	 left # : 1940 	 right # : 1201 	 overlap_with_division_line # : 260
line top point : (594604.956, 5753195.131)	 line bottom point : (594604.956, 5745470.425) 	 left # : 1940 	 right # : 1201 	 overlap_with_division_line # : 260
line top point : (594605.956, 5753195.131)	 line bottom point : (594605.956, 5745470.425) 	 left # : 1940 	 right # : 1201 	 overlap_with_division_line # : 260
line top point : (594606.956, 5753195.131)	 line bottom point : (594606.956, 5745470.425) 	 left # : 1942 	 right # : 1199 	 overlap_with_division_line # : 260
line top point : (594607.956, 5753195.131)	 line bottom point : (594607.956, 5745470.425) 	 left # : 1942 	 right # : 1199 	 overlap_with_division_line # : 260
line top point : (594608.956, 5753195.131)	 line bottom point : (594608.956, 5745470.425) 	 left # : 1942 	 right # : 1199 	 overlap_with_division_line # : 260
line top point : (594609.956, 5753195.131)	 line bottom point : (594609.956, 5745470.425) 	 left # : 1942 	 right # : 1199 	 overlap_with_division_line # : 260
line top point : (594610.956, 5753195.131)	 line bottom point : (594610.956, 5745470.425) 	 left # : 1942 	 right # : 1199 	 overlap_with_division_line # : 260
line top point : (594611.956, 5753195.131)	 line bottom point : (594611.956, 5745470.425) 	 left # : 1943 	 right # : 1197 	 overlap_with_division_line # : 261
line top point : (594612.956, 5753195.131)	 line bottom point : (594612.956, 5745470.425) 	 left # : 1944 	 right # : 1196 	 overlap_with_division_line # : 261
line top point : (594613.956, 5753195.131)	 line bottom point : (594613.956, 5745470.425) 	 left # : 1948 	 right # : 1190 	 overlap_with_division_line # : 263
line top point : (594614.956, 5753195.131)	 line bottom point : (594614.956, 5745470.425) 	 left # : 1950 	 right # : 1188 	 overlap_with_division_line # : 263
line top point : (594615.956, 5753195.131)	 line bottom point : (594615.956, 5745470.425) 	 left # : 1952 	 right # : 1186 	 overlap_with_division_line # : 263
line top point : (594616.956, 5753195.131)	 line bottom point : (594616.956, 5745470.425) 	 left # : 1952 	 right # : 1186 	 overlap_with_division_line # : 263
line top point : (594617.956, 5753195.131)	 line bottom point : (594617.956, 5745470.425) 	 left # : 1952 	 right # : 1186 	 overlap_with_division_line # : 263
line top point : (594618.956, 5753195.131)	 line bottom point : (594618.956, 5745470.425) 	 left # : 1952 	 right # : 1186 	 overlap_with_division_line # : 263
line top point : (594619.956, 5753195.131)	 line bottom point : (594619.956, 5745470.425) 	 left # : 1952 	 right # : 1186 	 overlap_with_division_line # : 263
line top point : (594620.956, 5753195.131)	 line bottom point : (594620.956, 5745470.425) 	 left # : 1955 	 right # : 1183 	 overlap_with_division_line # : 263
line top point : (594621.956, 5753195.131)	 line bottom point : (594621.956, 5745470.425) 	 left # : 1955 	 right # : 1183 	 overlap_with_division_line # : 263
line top point : (594622.956, 5753195.131)	 line bottom point : (594622.956, 5745470.425) 	 left # : 1956 	 right # : 1182 	 overlap_with_division_line # : 263
line top point : (594623.956, 5753195.131)	 line bottom point : (594623.956, 5745470.425) 	 left # : 1956 	 right # : 1182 	 overlap_with_division_line # : 263
line top point : (594624.956, 5753195.131)	 line bottom point : (594624.956, 5745470.425) 	 left # : 1956 	 right # : 1182 	 overlap_with_division_line # : 263
line top point : (594625.956, 5753195.131)	 line bottom point : (594625.956, 5745470.425) 	 left # : 1957 	 right # : 1181 	 overlap_with_division_line # : 263
line top point : (594626.956, 5753195.131)	 line bottom point : (594626.956, 5745470.425) 	 left # : 1957 	 right # : 1181 	 overlap_with_division_line # : 263
line top point : (594627.956, 5753195.131)	 line bottom point : (594627.956, 5745470.425) 	 left # : 1958 	 right # : 1180 	 overlap_with_division_line # : 263
line top point : (594628.956, 5753195.131)	 line bottom point : (594628.956, 5745470.425) 	 left # : 1958 	 right # : 1180 	 overlap_with_division_line # : 263
line top point : (594629.956, 5753195.131)	 line bottom point : (594629.956, 5745470.425) 	 left # : 1958 	 right # : 1180 	 overlap_with_division_line # : 263
line top point : (594630.956, 5753195.131)	 line bottom point : (594630.956, 5745470.425) 	 left # : 1960 	 right # : 1178 	 overlap_with_division_line # : 263
line top point : (594631.956, 5753195.131)	 line bottom point : (594631.956, 5745470.425) 	 left # : 1962 	 right # : 1176 	 overlap_with_division_line # : 263
line top point : (594632.956, 5753195.131)	 line bottom point : (594632.956, 5745470.425) 	 left # : 1963 	 right # : 1175 	 overlap_with_division_line # : 263
line top point : (594633.956, 5753195.131)	 line bottom point : (594633.956, 5745470.425) 	 left # : 1963 	 right # : 1175 	 overlap_with_division_line # : 263
line top point : (594634.956, 5753195.131)	 line bottom point : (594634.956, 5745470.425) 	 left # : 1963 	 right # : 1175 	 overlap_with_division_line # : 263
line top point : (594635.956, 5753195.131)	 line bottom point : (594635.956, 5745470.425) 	 left # : 1963 	 right # : 1175 	 overlap_with_division_line # : 263
line top point : (594636.956, 5753195.131)	 line bottom point : (594636.956, 5745470.425) 	 left # : 1963 	 right # : 1175 	 overlap_with_division_line # : 263
line top point : (594637.956, 5753195.131)	 line bottom point : (594637.956, 5745470.425) 	 left # : 1963 	 right # : 1175 	 overlap_with_division_line # : 263
line top point : (594638.956, 5753195.131)	 line bottom point : (594638.956, 5745470.425) 	 left # : 1963 	 right # : 1175 	 overlap_with_division_line # : 263
line top point : (594639.956, 5753195.131)	 line bottom point : (594639.956, 5745470.425) 	 left # : 1965 	 right # : 1173 	 overlap_with_division_line # : 263
line top point : (594640.956, 5753195.131)	 line bottom point : (594640.956, 5745470.425) 	 left # : 1965 	 right # : 1173 	 overlap_with_division_line # : 263
line top point : (594641.956, 5753195.131)	 line bottom point : (594641.956, 5745470.425) 	 left # : 1965 	 right # : 1173 	 overlap_with_division_line # : 263
line top point : (594642.956, 5753195.131)	 line bottom point : (594642.956, 5745470.425) 	 left # : 1965 	 right # : 1173 	 overlap_with_division_line # : 263
line top point : (594643.956, 5753195.131)	 line bottom point : (594643.956, 5745470.425) 	 left # : 1965 	 right # : 1173 	 overlap_with_division_line # : 263
line top point : (594644.956, 5753195.131)	 line bottom point : (594644.956, 5745470.425) 	 left # : 1965 	 right # : 1173 	 overlap_with_division_line # : 263
line top point : (594645.956, 5753195.131)	 line bottom point : (594645.956, 5745470.425) 	 left # : 1965 	 right # : 1173 	 overlap_with_division_line # : 263
line top point : (594646.956, 5753195.131)	 line bottom point : (594646.956, 5745470.425) 	 left # : 1967 	 right # : 1171 	 overlap_with_division_line # : 263
line top point : (594647.956, 5753195.131)	 line bottom point : (594647.956, 5745470.425) 	 left # : 1969 	 right # : 1167 	 overlap_with_division_line # : 265
line top point : (594648.956, 5753195.131)	 line bottom point : (594648.956, 5745470.425) 	 left # : 1969 	 right # : 1167 	 overlap_with_division_line # : 265
line top point : (594649.956, 5753195.131)	 line bottom point : (594649.956, 5745470.425) 	 left # : 1969 	 right # : 1167 	 overlap_with_division_line # : 265
line top point : (594650.956, 5753195.131)	 line bottom point : (594650.956, 5745470.425) 	 left # : 1971 	 right # : 1164 	 overlap_with_division_line # : 266
line top point : (594651.956, 5753195.131)	 line bottom point : (594651.956, 5745470.425) 	 left # : 1971 	 right # : 1164 	 overlap_with_division_line # : 266
line top point : (594652.956, 5753195.131)	 line bottom point : (594652.956, 5745470.425) 	 left # : 1971 	 right # : 1164 	 overlap_with_division_line # : 266
line top point : (594653.956, 5753195.131)	 line bottom point : (594653.956, 5745470.425) 	 left # : 1971 	 right # : 1164 	 overlap_with_division_line # : 266
line top point : (594654.956, 5753195.131)	 line bottom point : (594654.956, 5745470.425) 	 left # : 1971 	 right # : 1164 	 overlap_with_division_line # : 266
line top point : (594655.956, 5753195.131)	 line bottom point : (594655.956, 5745470.425) 	 left # : 1971 	 right # : 1164 	 overlap_with_division_line # : 266
line top point : (594656.956, 5753195.131)	 line bottom point : (594656.956, 5745470.425) 	 left # : 1971 	 right # : 1164 	 overlap_with_division_line # : 266
line top point : (594657.956, 5753195.131)	 line bottom point : (594657.956, 5745470.425) 	 left # : 1971 	 right # : 1164 	 overlap_with_division_line # : 266
line top point : (594658.956, 5753195.131)	 line bottom point : (594658.956, 5745470.425) 	 left # : 1971 	 right # : 1164 	 overlap_with_division_line # : 266
line top point : (594659.956, 5753195.131)	 line bottom point : (594659.956, 5745470.425) 	 left # : 1971 	 right # : 1164 	 overlap_with_division_line # : 266
line top point : (594660.956, 5753195.131)	 line bottom point : (594660.956, 5745470.425) 	 left # : 1971 	 right # : 1164 	 overlap_with_division_line # : 266
line top point : (594661.956, 5753195.131)	 line bottom point : (594661.956, 5745470.425) 	 left # : 1971 	 right # : 1164 	 overlap_with_division_line # : 266
line top point : (594662.956, 5753195.131)	 line bottom point : (594662.956, 5745470.425) 	 left # : 1973 	 right # : 1162 	 overlap_with_division_line # : 266
line top point : (594663.956, 5753195.131)	 line bottom point : (594663.956, 5745470.425) 	 left # : 1973 	 right # : 1162 	 overlap_with_division_line # : 266
line top point : (594664.956, 5753195.131)	 line bottom point : (594664.956, 5745470.425) 	 left # : 1973 	 right # : 1162 	 overlap_with_division_line # : 266
line top point : (594665.956, 5753195.131)	 line bottom point : (594665.956, 5745470.425) 	 left # : 1973 	 right # : 1162 	 overlap_with_division_line # : 266
line top point : (594666.956, 5753195.131)	 line bottom point : (594666.956, 5745470.425) 	 left # : 1973 	 right # : 1162 	 overlap_with_division_line # : 266
line top point : (594667.956, 5753195.131)	 line bottom point : (594667.956, 5745470.425) 	 left # : 1973 	 right # : 1162 	 overlap_with_division_line # : 266
line top point : (594668.956, 5753195.131)	 line bottom point : (594668.956, 5745470.425) 	 left # : 1973 	 right # : 1162 	 overlap_with_division_line # : 266
line top point : (594669.956, 5753195.131)	 line bottom point : (594669.956, 5745470.425) 	 left # : 1973 	 right # : 1162 	 overlap_with_division_line # : 266
line top point : (594670.956, 5753195.131)	 line bottom point : (594670.956, 5745470.425) 	 left # : 1973 	 right # : 1162 	 overlap_with_division_line # : 266
line top point : (594671.956, 5753195.131)	 line bottom point : (594671.956, 5745470.425) 	 left # : 1973 	 right # : 1162 	 overlap_with_division_line # : 266
line top point : (594672.956, 5753195.131)	 line bottom point : (594672.956, 5745470.425) 	 left # : 1973 	 right # : 1162 	 overlap_with_division_line # : 266
